gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2563530198	739	198	301	2	101	5.1e-16	59.1	pfam13426	PAS_9	101
2563530198	739	313	470	1	160	9.9e-55	184.5	pfam00990	GGDEF	161
2563530198	739	489	726	2	237	2.5e-72	243.1	pfam00563	EAL	237
2563530199	976	30	208	1	176	1.1e-55	187.9	pfam01339	CheB_methylest	176
2563530199	976	231	283	3	53	6.6e-16	57.6	pfam03705	CheR_N	53
2563530199	976	296	491	2	190	6.4e-49	166	pfam01739	CheR	195
2563530199	976	731	836	1	105	1.3e-27	96.2	pfam13596	PAS_10	106
2563530199	976	860	946	2	88	1.2e-13	51	pfam08447	PAS_3	89
2563530201	802	2	134	2	102	2.2e-16	59.8	pfam01751	Toprim	103
2563530201	802	150	599	3	411	5.8e-111	371.3	pfam01131	Topoisom_bac	412
2563530201	802	742	800	1	59	1.4e-17	63.3	pfam13342	Toprim_Crpt	60
2563530202	457	9	117	2	109	4.6e-48	161.5	pfam14793	DUF4478	109
2563530202	457	193	332	1	132	1.5e-29	102.7	pfam03641	Lysine_decarbox	132
2563530202	457	336	456	1	121	4.6e-59	197.7	pfam11892	DUF3412	121
2563530204	68	2	68	2	64	6.2e-30	102.7	pfam00313	CSD	66
2563530205	88	4	73	1	70	4.7e-18	64.7	pfam00076	RRM_1	70
2563530207	409	2	246	2	253	5.5e-38	130.9	pfam00109	ketoacyl-synt	253
2563530207	409	254	364	1	117	1.2e-26	92.9	pfam02801	Ketoacyl-synt_C	118
2563530208	241	3	199	1	190	8.9e-53	178.5	pfam00106	adh_short	195
2563530210	423	105	261	113	248	1.2e-20	74.1	pfam00109	ketoacyl-synt	253
2563530210	423	264	377	3	109	1.0e-24	86.6	pfam02801	Ketoacyl-synt_C	118
2563530211	186	8	153	2	153	1.9e-31	109	pfam11659	DUF3261	154
2563530212	425	25	113	1	78	7.3e-10	38.1	pfam04820	Trp_halogenase	454
2563530212	425	101	398	142	383	5.8e-14	51.6	pfam04820	Trp_halogenase	454
2563530214	195	32	186	6	160	1.8e-09	37.4	pfam03548	LolA	165
2563530215	137	11	130	3	108	9.5e-07	29.2	pfam13279	4HBT_2	123
2563530217	536	9	484	2	466	0.0e+00	534.4	pfam00221	Lyase_aromatic	466
2563530218	559	4	158	1	123	3.3e-14	52.9	pfam00535	Glycos_transf_2	170
2563530218	559	245	551	23	293	1.7e-11	43.7	pfam03279	Lip_A_acyltrans	295
2563530219	603	84	304	151	325	2.4e-15	55.9	pfam00501	AMP-binding	421
2563530219	603	392	474	1	71	2.8e-05	24.9	pfam13193	AMP-binding_C	71
2563530221	82	9	76	2	67	7.1e-12	45.4	pfam00550	PP-binding	67
2563530222	82	3	77	2	67	1.2e-10	41.5	pfam00550	PP-binding	67
2563530223	264	76	196	4	132	1.3e-12	47.4	pfam01553	Acyltransferase	134
2563530224	242	23	240	1	225	1.0e-58	198.5	pfam13723	Ketoacyl-synt_2	225
2563530225	288	26	90	3	60	3.1e-10	39.7	pfam00126	HTH_1	60
2563530225	288	131	194	1	62	1.3e-10	41.3	pfam03459	TOBE	64
2563530225	288	219	279	1	60	4.9e-16	58.6	pfam03459	TOBE	64
2563530226	541	78	517	2	393	8.0e-69	232.2	pfam13372	Alginate_exp	397
2563530227	254	27	251	3	229	1.4e-44	152.4	pfam13531	SBP_bac_11	230
2563530228	228	28	221	1	175	1.3e-17	64	pfam00528	BPD_transp_1	185
2563530229	392	17	163	3	136	6.5e-31	107.5	pfam00005	ABC_tran	137
2563530229	392	355	391	26	62	1.8e-06	28	pfam03459	TOBE	64
2563530230	142	3	66	2	63	4.0e-17	62.1	pfam03459	TOBE	64
2563530230	142	75	138	2	64	2.3e-18	66.1	pfam03459	TOBE	64
2563530231	389	17	161	12	136	1.2e-23	84	pfam00005	ABC_tran	137
2563530231	389	295	355	2	61	2.2e-06	27.7	pfam03459	TOBE	64
2563530232	193	8	128	75	178	1.4e-35	122.1	pfam02826	2-Hacid_dh_C	178
2563530233	163	48	163	1	113	1.6e-33	115.3	pfam04982	HPP	118
2563530234	177	23	118	2	109	1.1e-11	45.4	pfam12847	Methyltransf_18	110
2563530236	268	184	262	1	76	3.9e-16	58.9	pfam12833	HTH_18	81
2563530237	346	132	329	1	209	9.9e-17	61.8	pfam05721	PhyH	211
2563530238	109	19	105	2	84	9.5e-22	76.9	pfam11006	DUF2845	85
2563530239	110	17	110	14	79	1.8e-17	62.9	pfam13744	HTH_37	80
2563530240	117	15	104	2	90	3.1e-23	81.6	pfam05973	Gp49	90
2563530241	97	10	97	4	91	4.3e-08	33.2	pfam01909	NTP_transf_2	95
2563530242	113	11	108	2	119	1.8e-25	89	pfam01934	DUF86	119
2563530245	412	27	94	1	59	6.9e-10	39.2	pfam13534	Fer4_17	61
2563530245	412	186	267	1	84	1.7e-10	40.8	pfam02754	CCG	85
2563530245	412	307	392	1	84	3.8e-07	30.1	pfam02754	CCG	85
2563530247	279	109	266	7	142	2.5e-06	27.5	pfam13289	SIR2_2	143
2563530248	293	4	275	1	270	0.0e+00	453.4	pfam00142	Fer4_NifH	271
2563530249	493	62	468	1	398	7.5e-114	380.4	pfam00148	Oxidored_nitro	399
2563530250	523	1	56	1	56	4.7e-23	81.1	pfam11844	DUF3364	56
2563530250	523	70	502	1	398	5.2e-118	394.1	pfam00148	Oxidored_nitro	399
2563530251	74	1	67	1	64	1.6e-24	85.3	pfam06988	NifT	64
2563530252	66	2	56	3	52	3.8e-11	42.7	pfam13237	Fer4_10	52
2563530253	236	7	88	1	80	1.1e-17	64	pfam16844	DIMCO_N	91
2563530253	236	111	206	2	94	5.3e-18	65	pfam02579	Nitro_FeMo-Co	95
2563530255	255	9	58	10	52	7.0e-13	48.3	pfam05484	LRV_FeS	53
2563530257	72	1	48	1	48	5.0e-12	45.8	pfam07862	Nif11	48
2563530258	187	7	170	8	138	2.1e-29	102.4	pfam03167	UDG	155
2563530259	254	4	245	2	239	1.8e-28	99.9	pfam03372	Exo_endo_phos	239
2563530260	183	1	170	161	318	1.4e-16	60.5	pfam14175	YaaC	319
2563530261	93	5	38	6	32	4.1e-08	32.7	pfam03811	Zn_Tnp_IS1	35
2563530261	93	46	91	1	46	2.6e-20	71.6	pfam12759	HTH_Tnp_IS1	46
2563530262	143	7	138	4	130	5.9e-50	168.8	pfam03400	DDE_Tnp_IS1	131
2563530263	182	58	181	37	143	3.4e-23	82.2	pfam14175	YaaC	319
2563530264	102	4	93	1	89	7.4e-11	42.4	pfam05016	ParE_toxin	90
2563530265	87	1	83	3	76	3.1e-14	52.8	pfam09386	ParD	79
2563530266	519	38	444	1	398	1.1e-107	360.1	pfam00148	Oxidored_nitro	399
2563530267	465	19	435	1	398	1.6e-110	369.5	pfam00148	Oxidored_nitro	399
2563530268	143	13	108	3	94	3.6e-20	71.9	pfam02579	Nitro_FeMo-Co	95
2563530270	157	36	156	1	120	2.6e-46	156.5	pfam03270	DUF269	121
2563530271	70	3	67	1	63	5.9e-24	83.5	pfam05082	Rop-like	64
2563530272	105	27	95	1	66	7.4e-10	39.5	pfam13484	Fer4_16	67
2563530273	107	1	91	75	143	3.6e-06	26.8	pfam01257	2Fe-2S_thioredx	145
2563530276	325	8	88	1	71	3.0e-15	56.1	pfam13938	DUF4213	74
2563530276	325	109	247	2	146	1.5e-37	128.3	pfam04016	DUF364	147
2563530278	575	368	486	1	125	5.0e-16	59.2	pfam00004	AAA	132
2563530279	102	7	98	6	107	2.8e-15	56.6	pfam00581	Rhodanese	107
2563530280	150	30	123	1	85	3.4e-14	53.3	pfam12796	Ank_2	86
2563530281	237	4	94	1	91	1.7e-34	117.9	pfam16844	DIMCO_N	91
2563530281	237	115	208	3	93	4.1e-14	52.5	pfam02579	Nitro_FeMo-Co	95
2563530283	143	39	142	3	102	1.8e-31	108	pfam00085	Thioredoxin	104
2563530284	167	4	153	2	127	1.7e-10	40.9	pfam12695	Abhydrolase_5	145
2563530285	336	59	308	1	255	6.3e-19	68.5	pfam00561	Abhydrolase_1	256
2563530287	612	35	308	1	269	5.9e-18	65.4	pfam00664	ABC_membrane	274
2563530287	612	371	520	2	137	3.2e-31	108.5	pfam00005	ABC_tran	137
2563530289	262	9	239	6	209	1.9e-48	164.8	pfam00557	Peptidase_M24	209
2563530290	70	1	69	1	58	4.4e-26	90.6	pfam11903	ParD_like	73
2563530291	362	56	125	1	72	9.5e-18	63.8	pfam05598	DUF772	73
2563530291	362	135	344	20	101	1.3e-08	34.6	pfam01609	DDE_Tnp_1	214
2563530292	263	1	180	13	156	6.5e-09	36.4	pfam00149	Metallophos	197
2563530293	181	6	168	1	143	3.9e-21	75.6	pfam00258	Flavodoxin_1	143
2563530296	206	3	86	11	73	2.3e-08	34.3	pfam13417	GST_N_3	75
2563530297	131	12	126	2	124	4.9e-08	33.5	pfam01814	Hemerythrin	131
2563530298	194	6	184	2	199	1.5e-29	103.5	pfam13532	2OG-FeII_Oxy_2	199
2563530301	145	8	143	1	128	7.0e-29	100.3	pfam04246	RseC_MucC	129
2563530302	137	21	122	4	82	3.1e-09	36.3	pfam00355	Rieske	98
2563530303	177	6	168	1	143	3.6e-27	95.2	pfam00258	Flavodoxin_1	143
2563530304	202	16	80	1	60	7.3e-16	58	pfam00462	Glutaredoxin	60
2563530304	202	107	187	24	74	8.8e-10	38.5	pfam01722	BolA	74
2563530305	423	7	44	1	37	5.2e-11	42.1	pfam06689	zf-C4_ClpX	39
2563530305	423	112	310	3	170	1.1e-42	145.9	pfam07724	AAA_2	171
2563530305	423	316	399	1	74	3.6e-15	55.6	pfam10431	ClpB_D2-small	81
2563530306	292	149	244	1	94	5.2e-21	75.2	pfam00639	Rotamase	96
2563530307	159	8	80	3	71	1.1e-28	98.6	pfam04319	NifZ	73
2563530308	105	2	103	3	99	1.5e-33	115.1	pfam03206	NifW	99
2563530310	263	83	126	2	36	2.9e-04	20.3	pfam00132	Hexapep	36
2563530310	263	135	170	1	35	5.1e-07	29	pfam00132	Hexapep	36
2563530312	374	7	265	2	264	9.1e-84	281	pfam00682	HMGL-like	264
2563530313	402	4	366	1	371	2.5e-89	299.7	pfam00266	Aminotran_5	371
2563530314	301	3	128	2	126	1.5e-51	173.7	pfam01592	NifU_N	129
2563530314	301	135	185	1	50	1.0e-10	41.7	pfam04324	Fer2_BFD	51
2563530314	301	223	287	1	67	2.6e-21	75.4	pfam01106	NifU	67
2563530315	118	1	103	3	109	4.2e-21	75	pfam01521	Fe-S_biosyn	110
2563530316	87	4	81	5	71	2.3e-15	56	pfam04319	NifZ	73
2563530318	544	69	240	27	158	1.3e-07	31.7	pfam00881	Nitroreductase	170
2563530318	544	329	524	1	169	6.0e-08	32.8	pfam00881	Nitroreductase	170
2563530319	489	4	232	1	236	8.2e-17	61.8	pfam00656	Peptidase_C14	248
2563530322	60	15	57	1	41	2.1e-10	40.2	pfam13396	PLDc_N	42
2563530323	154	8	144	1	142	2.2e-40	137.7	pfam00210	Ferritin	142
2563530324	70	2	51	1	51	1.8e-10	40.9	pfam04324	Fer2_BFD	51
2563530325	86	1	83	1	83	1.0e-30	105.8	pfam03658	Ub-RnfH	83
2563530326	232	7	203	2	174	2.5e-58	196.7	pfam02508	Rnf-Nqr	174
2563530327	236	134	224	1	68	2.1e-16	60.1	pfam04205	FMN_bind	69
2563530328	357	6	344	3	292	5.1e-103	344.4	pfam03116	NQR2_RnfD_RnfE	292
2563530330	495	8	111	2	101	2.4e-32	110.8	pfam13375	RnfC_N	101
2563530330	495	135	281	2	150	2.4e-45	153.9	pfam01512	Complex1_51K	151
2563530330	495	293	341	1	57	2.8e-09	36.8	pfam10531	SLBB	59
2563530330	495	365	423	5	52	9.4e-09	35	pfam13237	Fer4_10	52
2563530331	190	43	75	1	33	2.9e-12	45.9	pfam04060	FeS	33
2563530331	190	105	159	1	59	5.0e-12	45.6	pfam14697	Fer4_21	59
2563530332	193	4	191	2	173	3.3e-60	202.9	pfam02508	Rnf-Nqr	174
2563530333	538	48	151	1	101	2.1e-15	57.1	pfam13426	PAS_9	101
2563530333	538	416	528	3	105	1.1e-18	67.4	pfam02518	HATPase_c	106
2563530334	513	25	165	2	137	6.4e-12	45.7	pfam13185	GAF_2	139
2563530334	513	197	364	1	167	4.7e-71	237.8	pfam00158	Sigma54_activat	168
2563530334	513	469	504	7	39	1.0e-09	37.9	pfam02954	HTH_8	42
2563530336	222	6	69	1	61	3.4e-12	46.3	pfam00226	DnaJ	64
2563530336	222	116	147	24	38	7.4e+00	7.3	pfam08238	Sel1	38
2563530336	222	148	183	1	38	2.7e-11	43.6	pfam08238	Sel1	38
2563530336	222	184	219	2	38	1.5e-07	31.8	pfam08238	Sel1	38
2563530339	496	58	242	3	165	2.3e-26	93	pfam04055	Radical_SAM	167
2563530339	496	377	477	3	93	2.0e-18	66.3	pfam02579	Nitro_FeMo-Co	95
2563530340	92	2	55	7	52	2.7e-08	33.6	pfam13237	Fer4_10	52
2563530341	140	7	113	1	107	5.9e-13	48.9	pfam03960	ArsC	110
2563530342	427	42	197	5	152	3.0e-12	46.8	pfam00753	Lactamase_B	197
2563530342	427	272	405	1	140	2.2e-10	40.8	pfam00258	Flavodoxin_1	143
2563530343	95	6	86	4	77	1.4e-14	53.6	pfam00111	Fer2	78
2563530344	116	10	108	5	77	8.6e-15	54.3	pfam00111	Fer2	78
2563530345	191	30	188	1	160	2.0e-51	174.4	pfam04891	NifQ	160
2563530346	795	549	744	4	207	2.4e-58	197.2	pfam00015	MCPsignal	207
2563530347	129	12	123	6	118	7.2e-15	54.8	pfam13436	Gly-zipper_OmpA	118
2563530351	203	9	55	1	46	6.1e-15	54.7	pfam00440	TetR_N	47
2563530352	210	35	128	6	86	4.5e-13	49.1	pfam01243	Pyridox_oxidase	88
2563530354	1064	5	1053	1	1020	0.0e+00	779.8	pfam00873	ACR_tran	1021
2563530355	205	22	201	2	198	3.6e-18	65.9	pfam01545	Cation_efflux	199
2563530356	478	145	368	3	154	2.7e-48	163.3	pfam16576	HlyD_D23	155
2563530357	431	35	217	2	187	6.0e-18	65.2	pfam02321	OEP	188
2563530357	431	241	425	4	188	3.1e-20	72.6	pfam02321	OEP	188
2563530359	172	77	159	2	79	1.7e-18	66.5	pfam00583	Acetyltransf_1	80
2563530360	312	1	306	1	293	7.3e-79	265.5	pfam04168	Alpha-E	293
2563530361	483	80	456	1	375	0.0e+00	547	pfam14403	CP_ATPgrasp_2	375
2563530363	1128	5	84	2	79	4.6e-27	94.6	pfam08379	Bact_transglu_N	80
2563530363	1128	128	246	14	113	1.4e-18	67.2	pfam01841	Transglut_core	113
2563530363	1128	276	1124	1	818	0.0e+00	1359.3	pfam09899	DUF2126	818
2563530364	434	51	415	1	352	1.2e-123	412.7	pfam00285	Citrate_synt	352
2563530365	853	86	462	1	375	0.0e+00	508.7	pfam14403	CP_ATPgrasp_2	375
2563530365	853	511	835	1	293	7.7e-64	216.1	pfam04168	Alpha-E	293
2563530366	309	3	82	1	79	9.0e-24	84	pfam08379	Bact_transglu_N	80
2563530366	309	152	263	16	113	2.5e-22	79.3	pfam01841	Transglut_core	113
2563530368	324	3	324	1	312	1.6e-98	329.5	pfam02685	Glucokinase	316
2563530369	1077	6	825	3	447	4.0e-127	424.6	pfam00723	Glyco_hydro_15	448
2563530371	264	115	217	2	113	3.3e-24	85.4	pfam01841	Transglut_core	113
2563530372	262	7	230	4	150	3.0e-14	53.2	pfam12850	Metallophos_2	171
2563530373	408	8	368	2	347	1.8e-12	46.7	pfam07690	MFS_1	352
2563530374	399	23	188	1	169	4.7e-27	95	pfam06925	MGDG_synth	169
2563530374	399	204	361	45	169	7.7e-11	41.7	pfam00534	Glycos_transf_1	172
2563530375	373	39	170	4	133	2.7e-13	50.2	pfam13401	AAA_22	137
2563530377	281	168	271	2	95	3.5e-15	56	pfam00691	OmpA	95
2563530379	553	77	303	139	311	1.2e-21	76.9	pfam03098	An_peroxidase	514
2563530381	728	409	445	2	36	1.2e-06	27.7	pfam00805	Pentapeptide	40
2563530381	728	480	519	1	40	3.6e-13	48.5	pfam00805	Pentapeptide	40
2563530383	462	11	446	1	434	0.0e+00	739.1	pfam06751	EutB	435
2563530384	267	11	247	1	233	1.3e-84	283	pfam05985	EutC	233
2563530385	71	5	70	2	65	1.5e-27	95.1	pfam00313	CSD	66
2563530387	568	19	405	1	380	3.0e-58	197.3	pfam00916	Sulfate_transp	381
2563530387	568	435	542	4	117	8.4e-11	41.4	pfam01740	STAS	117
2563530388	325	114	211	1	106	1.8e-11	44.4	pfam00581	Rhodanese	107
2563530390	769	23	331	2	279	1.5e-23	83.2	pfam07992	Pyr_redox_2	292
2563530390	769	469	578	1	94	2.3e-11	44	pfam00586	AIRS	94
2563530390	769	590	769	1	153	1.3e-25	90.2	pfam02769	AIRS_C	156
2563530391	107	3	79	1	65	1.1e-16	61	pfam12441	CopG_antitoxin	79
2563530392	296	106	287	5	213	6.3e-12	45.4	pfam01609	DDE_Tnp_1	214
2563530393	194	19	96	6	79	5.8e-11	42.4	pfam13424	TPR_12	79
2563530393	194	100	192	1	79	5.6e-10	39.3	pfam13424	TPR_12	79
2563530394	448	8	439	64	469	3.0e-106	355.7	pfam02055	Glyco_hydro_30	496
2563530395	337	3	291	3	294	1.6e-08	34	pfam01180	DHO_dh	295
2563530396	1212	17	249	2	230	1.1e-79	267.3	pfam01855	POR_N	231
2563530396	1212	435	621	1	174	1.4e-26	93.6	pfam01558	POR	177
2563530396	1212	635	689	5	57	2.9e-22	78.1	pfam10371	EKR	57
2563530396	1212	699	770	2	66	6.9e-10	39.6	pfam13484	Fer4_16	67
2563530396	1212	957	1086	43	152	3.9e-09	36.3	pfam02775	TPP_enzyme_C	153
2563530397	228	48	219	2	167	6.8e-53	178.7	pfam06026	Rib_5-P_isom_A	170
2563530398	368	114	331	1	199	2.0e-65	220.5	pfam01987	AIM24	200
2563530399	417	10	136	1	120	8.7e-18	64.7	pfam02308	MgtC	121
2563530399	417	183	391	1	210	9.2e-65	218.1	pfam13194	DUF4010	210
2563530400	449	92	223	1	134	1.7e-33	115.9	pfam00854	PTR2	395
2563530400	449	215	416	200	388	1.5e-39	135.8	pfam00854	PTR2	395
2563530401	443	5	203	3	173	3.4e-51	173.2	pfam01595	DUF21	184
2563530401	443	218	277	1	55	3.7e-05	24	pfam00571	CBS	57
2563530401	443	282	339	7	56	3.1e-03	17.8	pfam00571	CBS	57
2563530401	443	353	436	2	79	5.7e-13	48.5	pfam03471	CorC_HlyC	81
2563530402	217	46	214	2	170	9.2e-26	90.8	pfam00881	Nitroreductase	170
2563530405	378	8	376	2	370	0.0e+00	507.9	pfam04339	FemAB_like	370
2563530406	198	4	197	1	203	1.2e-67	227.5	pfam06080	DUF938	204
2563530410	176	13	141	1	117	3.1e-13	49.9	pfam13673	Acetyltransf_10	117
2563530411	281	12	281	14	290	5.7e-22	78.1	pfam00248	Aldo_ket_red	292
2563530412	1030	127	212	2	87	2.4e-16	59.6	pfam08447	PAS_3	89
2563530412	1030	256	429	2	165	2.2e-30	105.8	pfam02203	TarH	171
2563530412	1030	446	512	3	66	1.1e-07	31.8	pfam00672	HAMP	69
2563530412	1030	527	599	7	44	2.1e-02	14.7	pfam13188	PAS_8	67
2563530412	1030	793	985	3	207	1.6e-58	197.8	pfam00015	MCPsignal	207
2563530414	201	11	121	2	111	2.4e-25	88.8	pfam00072	Response_reg	112
2563530414	201	138	191	1	54	2.0e-10	40.2	pfam03861	ANTAR	54
2563530415	1163	25	232	5	176	1.2e-31	109.8	pfam05231	MASE1	300
2563530415	1163	276	469	2	184	4.0e-52	176.7	pfam03924	CHASE	184
2563530415	1163	569	681	1	109	4.3e-11	42.7	pfam00989	PAS	113
2563530415	1163	841	944	2	100	5.8e-14	52.5	pfam13426	PAS_9	101
2563530415	1163	966	1021	1	47	1.5e-07	31.2	pfam07568	HisKA_2	76
2563530416	526	68	260	1	188	7.9e-25	87.6	pfam02321	OEP	188
2563530416	526	287	475	7	188	2.2e-18	66.6	pfam02321	OEP	188
2563530417	395	58	107	2	49	3.9e-10	39.3	pfam13533	Biotin_lipoyl_2	50
2563530417	395	169	284	2	106	1.1e-04	22.7	pfam13437	HlyD_3	106
2563530418	1039	2	1027	1	1019	0.0e+00	1070.3	pfam00873	ACR_tran	1021
2563530420	337	8	256	1	241	5.2e-61	206	pfam01370	Epimerase	241
2563530421	307	2	235	3	218	1.1e-15	58	pfam13641	Glyco_tranf_2_3	229
2563530422	400	17	186	1	160	5.4e-12	46.3	pfam13579	Glyco_trans_4_4	160
2563530422	400	189	361	14	143	1.6e-16	60.2	pfam00534	Glycos_transf_1	172
2563530423	286	6	172	9	138	9.3e-17	61.2	pfam00535	Glycos_transf_2	170
2563530424	261	3	151	1	96	2.7e-14	53.2	pfam00535	Glycos_transf_2	170
2563530425	314	85	258	20	164	1.2e-14	54.4	pfam13489	Methyltransf_23	165
2563530426	442	25	274	10	235	6.4e-10	38.8	pfam13440	Polysacc_synt_3	253
2563530428	436	201	344	9	140	5.9e-18	65.1	pfam13425	O-antigen_lig	140
2563530429	792	24	286	4	151	5.8e-24	84.7	pfam02706	Wzz	152
2563530429	792	401	482	2	81	3.8e-28	97.1	pfam13807	GNVR	82
2563530429	792	559	707	1	150	5.1e-18	65.3	pfam13614	AAA_31	154
2563530430	370	80	167	5	82	6.4e-25	87.1	pfam02563	Poly_export	82
2563530430	370	174	226	4	57	1.8e-07	31	pfam10531	SLBB	59
2563530431	473	69	248	5	174	7.8e-21	74.7	pfam13727	CoA_binding_3	175
2563530431	473	286	468	1	150	4.2e-58	195.3	pfam02397	Bac_transf	153
2563530434	2305	41	229	4	182	2.7e-08	33.2	pfam03534	SpvB	290
2563530434	2305	667	818	31	168	3.2e-13	49.8	pfam12256	TcdB_toxin_midN	171
2563530434	2305	1272	1310	1	37	4.8e-06	26.8	pfam05593	RHS_repeat	38
2563530434	2305	2035	2163	2	136	7.3e-25	87.7	pfam07591	PT-HINT	137
2563530436	181	8	166	184	315	4.3e-16	58.6	pfam00872	Transposase_mut	381
2563530438	526	408	523	3	105	1.5e-21	76.5	pfam02518	HATPase_c	106
2563530440	537	196	264	2	67	5.2e-12	45.7	pfam00672	HAMP	69
2563530440	537	301	368	2	63	1.1e-16	60.5	pfam00512	HisKA	64
2563530440	537	414	525	1	105	5.1e-22	78	pfam02518	HATPase_c	106
2563530441	226	3	113	1	112	2.4e-25	88.8	pfam00072	Response_reg	112
2563530441	226	145	223	4	77	1.3e-26	92.4	pfam00486	Trans_reg_C	77
2563530442	484	69	258	3	187	1.3e-22	80.4	pfam02321	OEP	188
2563530442	484	283	476	3	188	2.3e-35	122	pfam02321	OEP	188
2563530444	89	24	87	2	62	4.1e-09	36.7	pfam17090	Ytca	62
2563530445	395	53	105	3	49	1.5e-18	66.2	pfam13533	Biotin_lipoyl_2	50
2563530445	395	128	318	24	125	2.8e-11	43	pfam16576	HlyD_D23	155
2563530446	755	45	576	33	521	1.8e-11	43.2	pfam04632	FUSC	657
2563530447	301	7	66	1	60	4.7e-13	48.7	pfam00126	HTH_1	60
2563530447	301	90	293	2	208	6.9e-30	103.8	pfam03466	LysR_substrate	209
2563530448	200	2	199	2	196	7.6e-48	162.7	pfam02525	Flavodoxin_2	198
2563530449	188	24	185	1	146	1.9e-37	128.9	pfam04264	YceI	146
2563530450	270	11	268	3	268	5.0e-39	133.9	pfam02900	LigB	274
2563530451	404	13	358	7	347	2.4e-30	105.5	pfam07690	MFS_1	352
2563530452	696	532	674	159	277	2.5e-10	40.1	pfam06325	PrmA	296
2563530458	478	170	448	3	276	5.7e-34	117.4	pfam00082	Peptidase_S8	285
2563530462	1167	330	484	1	142	3.9e-09	37.2	pfam13365	Trypsin_2	147
2563530464	143	7	138	4	130	5.9e-50	168.8	pfam03400	DDE_Tnp_IS1	131
2563530465	93	5	38	6	32	4.1e-08	32.7	pfam03811	Zn_Tnp_IS1	35
2563530465	93	46	91	1	46	2.6e-20	71.6	pfam12759	HTH_Tnp_IS1	46
2563530467	469	143	310	1	167	9.2e-59	197.8	pfam00158	Sigma54_activat	168
