gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2563530298	194	31.48	24	181	36	194	6.0e-20	90.9	COG3145	Alkylated DNA repair dioxygenase AlkB	194
2563530301	145	30.61	1	145	1	142	3.0e-18	84.6	COG3086	Positive regulator of sigma E activity	150
2563530302	137	22.86	23	127	6	102	2.0e-09	55	COG2146	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	106
2563530303	177	31.82	1	175	1	150	1.0e-24	105	COG0716	Flavodoxin	151
2563530304	202	50.96	1	103	2	105	2.0e-31	129	COG0278	Glutaredoxin-related protein	105
2563530305	423	53.96	10	423	1	408	0.0e+00	509	COG1219	ATP-dependent protease Clp, ATPase subunit	408
2563530306	292	17.41	21	266	51	283	2.0e-06	46.6	COG0760	Parvulin-like peptidyl-prolyl isomerase	320
2563530310	263	51.53	19	214	3	193	1.0e-60	226	COG1045	Serine acetyltransferase	194
2563530312	374	41.14	8	366	3	369	1.0e-93	336	COG0119	Isopropylmalate/homocitrate/citramalate synthases	409
2563530313	402	50.65	4	385	3	386	0.0e+00	500	COG1104	Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme	386
2563530314	301	41.96	1	123	3	143	9.0e-27	114	COG0822	NifU homolog involved in Fe-S cluster formation	150
2563530315	118	46.73	1	107	4	110	1.0e-30	125	COG0316	Fe-S cluster assembly iron-binding protein IscA	110
2563530323	154	70.13	1	154	1	154	8.0e-60	222	COG2193	Bacterioferritin (cytochrome b1)	157
2563530324	70	38.1	1	62	1	63	8.0e-08	48.8	COG2906	Bacterioferritin-associated ferredoxin	63
2563530325	86	43.53	1	85	4	88	3.0e-19	86.9	COG2914	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily	99
2563530326	232	50.48	8	215	5	212	4.0e-61	228	COG4660	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfE subunit	212
2563530327	236	48.94	44	231	10	195	6.0e-50	190	COG4659	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit	195
2563530328	357	42.73	5	348	2	338	3.0e-77	282	COG4658	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfD subunit	338
2563530330	495	44.76	9	494	5	487	3.0e-121	428	COG4656	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit	529
2563530331	190	45.26	3	188	4	192	8.0e-44	170	COG2878	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit	198
2563530332	193	69.47	1	190	1	190	8.0e-60	223	COG4657	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit	193
2563530333	538	24.9	277	528	81	330	9.0e-25	108	COG0642	Signal transduction histidine kinase	336
2563530334	513	39.05	8	511	29	548	6.0e-127	448	COG3604	Transcriptional regulator containing GAF, AAA-type ATPase, and DNA-binding Fis domains	550
2563530341	140	19.13	3	115	2	116	7.0e-09	53.2	COG1393	Arsenate reductase and related proteins, glutaredoxin family	117
2563530342	427	38.69	13	410	2	388	5.0e-103	368	COG0426	Flavorubredoxin	388
2563530343	95	34.44	1	88	1	90	8.0e-12	62	COG0633	Ferredoxin	102
2563530344	116	33.05	1	115	1	96	4.0e-06	43.5	COG0633	Ferredoxin	102
2563530346	795	34.73	366	746	4	408	2.0e-51	197	COG0840	Methyl-accepting chemotaxis protein	408
2563530351	203	25.97	6	186	14	193	5.0e-10	57.7	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2563530352	210	22.16	5	168	1	170	2.0e-07	49.3	COG3576	Predicted flavin-nucleotide-binding protein, pyridoxine 5'-phosphate oxidase superfamily	173
2563530354	1064	48.86	1	1055	1	1021	0.0e+00	1149	COG3696	Cu/Ag efflux pump CusA	1027
2563530356	478	33.44	136	435	41	353	7.0e-24	105	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	372
2563530357	431	19.9	33	425	43	443	3.0e-24	106	COG1538	Outer membrane protein TolC	457
2563530359	172	30.43	23	158	3	126	3.0e-10	58.4	COG3153	Predicted N-acetyltransferase YhbS	171
2563530360	312	30.99	1	306	1	307	4.0e-45	175	COG2307	Uncharacterized conserved protein, Alpha-E superfamily	313
2563530361	483	55.84	10	479	8	477	0.0e+00	626	COG2308	Uncharacterized conserved protein, circularly permuted ATPgrasp superfamily	488
2563530363	1128	52.59	284	1080	1	784	0.0e+00	926	COG4196	Uncharacterized conserved protein, DUF2126 family	808
2563530364	434	48.26	32	433	2	390	1.0e-122	433	COG0372	Citrate synthase	390
2563530365	853	46.32	20	494	12	486	0.0e+00	554	COG2308	Uncharacterized conserved protein, circularly permuted ATPgrasp superfamily	488
2563530366	309	29.24	1	297	11	293	6.0e-40	158	COG1305	Transglutaminase-like enzyme, putative cysteine protease	319
2563530367	251	44.03	1	243	1	243	2.0e-68	252	COG3484	Predicted proteasome-type protease	255
2563530368	324	34.8	2	318	8	313	7.0e-66	244	COG0837	Glucokinase	320
2563530371	264	26.43	1	247	11	290	3.0e-26	112	COG1305	Transglutaminase-like enzyme, putative cysteine protease	319
2563530372	262	33.06	9	247	1	237	8.0e-51	193	COG2908	UDP-2,3-diacylglucosamine pyrophosphatase LpxH	237
2563530374	399	23.47	11	377	1	354	2.0e-37	150	COG0707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	357
2563530375	373	30.92	1	260	9	269	1.0e-34	141	COG3267	Type II secretory pathway, component ExeA (predicted ATPase)	269
2563530381	728	47.78	401	572	56	235	6.0e-30	126	COG1357	Uncharacterized protein YjbI, contains pentapeptide repeats	238
2563530383	462	58.19	2	453	3	452	0.0e+00	688	COG4303	Ethanolamine ammonia-lyase, large subunit	453
2563530384	267	40.82	4	248	57	294	3.0e-62	231	COG4302	Ethanolamine ammonia-lyase, small subunit	294
2563530385	71	55.88	4	70	1	67	2.0e-19	87.1	COG1278	Cold shock protein, CspA family	67
2563530387	568	28.76	16	548	18	549	1.0e-79	291	COG0659	Sulfate permease or related transporter, MFS superfamily	554
2563530388	325	52.32	1	301	2	303	4.0e-118	417	COG1054	Predicted sulfurtransferase	308
2563530389	369	32.3	20	328	14	326	6.0e-41	161	COG2603	tRNA 2-selenouridine synthase SelU, contains rhodanese domain	334
2563530390	769	30.65	435	769	15	344	5.0e-48	186	COG0709	Selenophosphate synthase	346
2563530394	448	26.91	37	447	34	427	3.0e-66	246	COG5520	O-Glycosyl hydrolase	433
2563530395	337	28.53	3	309	1	310	9.0e-37	147	COG0167	Dihydroorotate dehydrogenase	310
2563530396	1212	40.31	8	392	5	363	1.0e-94	342	COG0674	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit	365
2563530397	228	44.19	1	215	4	216	2.0e-62	232	COG0120	Ribose 5-phosphate isomerase	227
2563530398	368	41.32	107	347	3	227	1.0e-55	210	COG2013	Uncharacterized conserved protein, AIM24 family	227
2563530399	417	33.95	40	415	1	369	3.0e-45	176	COG3174	Uncharacterized membrane protein, DUF4010 family	371
2563530400	449	26.54	15	428	19	483	3.0e-53	203	COG3104	Dipeptide/tripeptide permease	498
2563530401	443	35.1	1	432	1	419	3.0e-86	312	COG1253	Hemolysin or related protein, contains CBS domains	429
2563530402	217	21.65	40	217	3	186	1.0e-09	56.9	COG0778	Nitroreductase	207
2563530405	378	44.18	1	376	8	385	2.0e-125	442	COG3146	Predicted N-acyltransferase	387
2563530410	176	22.44	1	155	9	163	5.0e-07	47.7	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	177
2563530411	281	30.66	11	280	10	262	3.0e-46	178	COG0656	Aldo/keto reductase, related to diketogulonate reductase	280
2563530412	1030	42.99	692	987	88	408	5.0e-58	220	COG0840	Methyl-accepting chemotaxis protein	408
2563530414	201	34.2	6	197	3	194	1.0e-22	99	COG3707	Two-component response regulator, AmiR/NasT family, consists of REC and RNA-binding antiterminator (ANTAR) domains	194
2563530415	1163	24.35	208	544	11	335	7.0e-26	113	COG3614	Extracellular (periplasmic) sensor domain CHASE1 (specificity unknown)	348
2563530416	526	35.06	18	479	1	447	2.0e-65	243	COG1538	Outer membrane protein TolC	457
2563530417	395	32.18	6	372	10	372	4.0e-33	136	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	372
2563530418	1039	45.1	1	1028	1	1008	0.0e+00	916	COG0841	Multidrug efflux pump subunit AcrB	1009
2563530420	337	57.41	6	327	1	324	0.0e+00	500	COG1087	UDP-glucose 4-epimerase	329
2563530421	307	18.33	1	285	2	290	3.0e-16	79.4	COG1216	Glycosyltransferase, GT2 family	305
2563530422	400	22.25	1	383	1	376	4.0e-24	105	COG0438	Glycosyltransferase involved in cell wall bisynthesis	381
2563530423	286	17.18	1	286	1	283	2.0e-07	50.1	COG0463	Glycosyltransferase involved in cell wall bisynthesis	291
2563530425	314	20.65	104	275	48	227	1.0e-08	54.5	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	243
2563530426	442	21.22	6	415	4	410	1.0e-19	91.7	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	480
2563530428	436	20.38	48	344	44	354	4.0e-03	36.3	COG3307	O-antigen ligase	424
2563530429	792	23.8	17	485	3	454	8.0e-36	145	COG3206	Uncharacterized protein involved in exopolysaccharide biosynthesis	458
2563530430	370	36.15	74	286	34	238	3.0e-38	152	COG1596	Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold	239
2563530431	473	44.54	245	473	1	226	4.0e-65	242	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	226
2563530434	2305	19.8	1223	1880	12	677	1.0e-09	60.7	COG3209	Uncharacterized conserved protein RhaS, contains 28 RHS repeats	796
2563530438	526	27.44	212	526	30	333	7.0e-29	122	COG0642	Signal transduction histidine kinase	336
2563530441	226	47.14	1	224	1	226	2.0e-60	225	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2563530442	484	30.07	69	477	45	444	2.0e-43	170	COG1538	Outer membrane protein TolC	457
2563530445	395	37.26	12	375	9	343	7.0e-65	241	COG1566	Multidrug resistance efflux pump	352
2563530446	755	19.03	43	706	14	664	5.0e-15	77	COG1289	Uncharacterized membrane protein YccC	674
2563530447	301	30.98	5	295	1	294	2.0e-29	123	COG0583	DNA-binding transcriptional regulator, LysR family	297
2563530448	200	46.53	1	199	1	202	1.0e-58	219	COG1182	FMN-dependent NADH-azoreductase	202
2563530449	188	40.31	1	188	1	191	1.0e-39	156	COG2353	Polyisoprenoid-binding periplasmic protein YceI	192
2563530450	270	35.42	11	246	10	239	2.0e-46	179	COG3384	Aromatic ring-opening dioxygenase, catalytic subunit, LigB family	268
2563530451	404	20.41	56	397	61	391	2.0e-06	47.1	COG2814	Predicted arabinose efflux permease, MFS family	394
2563530462	1167	24.35	304	518	43	246	3.0e-12	68.4	COG3591	V8-like Glu-specific endopeptidase	251
2563530464	143	47.93	13	132	2	121	5.0e-26	110	COG1662	Transposase and inactivated derivatives, IS1 family	121
2563530467	469	36.72	92	469	86	464	3.0e-91	329	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	464
2563530470	143	47.93	13	132	2	121	2.0e-26	111	COG1662	Transposase and inactivated derivatives, IS1 family	121
2563530472	189	36.87	2	187	14	209	4.0e-21	94.8	COG0705	Membrane associated serine protease, rhomboid family	228
2563530473	279	27.66	4	265	5	286	6.0e-23	101	COG1752	Predicted acylesterase/phospholipase RssA, containd patatin domain	306
2563530476	768	29.46	323	763	33	494	1.0e-69	258	COG3378	Phage- or plasmid-associated DNA primase	517
2563530479	346	25.18	82	339	32	296	5.0e-18	85.6	COG4974	Site-specific recombinase XerD	300
2563530481	225	54.22	1	222	1	219	3.0e-74	271	COG0603	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	222
2563530482	213	30.41	4	209	4	212	3.0e-35	142	COG0602	Organic radical activating enzyme	212
2563530483	285	24.91	4	277	7	258	8.0e-23	101	COG1729	Periplasmic TolA-binding protein (function unknown)	262
2563530484	191	29.69	1	191	5	190	5.0e-28	117	COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	190
2563530485	427	45.18	6	427	2	423	6.0e-95	341	COG0823	Periplasmic component of the Tol biopolymer transport system	425
2563530487	142	39.13	1	138	3	133	3.0e-26	111	COG0848	Biopolymer transport protein ExbD	137
2563530488	225	43.19	13	225	4	216	3.0e-49	188	COG0811	Biopolymer transport protein ExbB/TolQ	216
2563530489	138	42.86	1	133	3	133	7.0e-31	126	COG0824	Acyl-CoA thioesterase FadM	137
2563530490	344	67.37	5	335	2	332	0.0e+00	534	COG2255	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit	332
2563530491	203	46.27	1	199	1	198	1.0e-55	209	COG0632	Holliday junction resolvasome RuvABC DNA-binding subunit	201
2563530492	165	55.97	4	161	1	159	4.0e-52	197	COG0817	Holliday junction resolvasome RuvABC endonuclease subunit	160
2563530493	248	61.98	1	241	1	241	8.0e-92	330	COG0217	Transcriptional and/or translational regulatory protein YebC/TACO1	241
2563530494	213	29.05	6	210	8	209	3.0e-16	78.8	COG0560	Phosphoserine phosphatase	212
2563530495	527	47.53	1	322	3	323	3.0e-89	323	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	324
2563530496	354	24.79	8	246	7	232	6.0e-22	98.4	COG1376	Lipoprotein-anchoring transpeptidase ErfK/SrfK	232
2563530497	469	36.24	12	460	1	444	2.0e-38	153	COG0531	Amino acid transporter	466
2563530503	398	41.58	1	396	1	400	8.0e-114	403	COG0162	Tyrosyl-tRNA synthetase	401
2563530504	490	34.67	233	427	62	257	2.0e-31	130	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	277
2563530505	385	47.31	1	369	3	371	7.0e-110	390	COG2377	1,6-Anhydro-N-acetylmuramate kinase	371
2563530506	110	57.8	1	109	1	109	2.0e-38	150	COG0316	Fe-S cluster assembly iron-binding protein IscA	110
2563530507	343	51.15	1	343	2	349	4.0e-121	428	COG0002	N-acetyl-gamma-glutamylphosphate reductase	349
2563530508	327	44.55	7	327	1	326	4.0e-83	301	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	326
2563530509	281	39.49	6	280	12	282	7.0e-70	257	COG2897	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains	285
2563530510	197	26.13	1	188	2	198	1.0e-17	83	COG4636	Endonuclease, Uma2 family (restriction endonuclease fold)	200
2563530511	452	40.84	35	452	129	559	2.0e-110	392	COG3829	Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding Fis domains	560
2563530512	365	31.84	1	173	13	211	1.0e-24	108	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	252
2563530513	417	20	8	351	1	336	2.0e-28	120	COG0446	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	415
2563530514	577	32.39	10	571	2	544	1.0e-91	330	COG0659	Sulfate permease or related transporter, MFS superfamily	554
2563530516	135	22.14	1	134	3	138	7.0e-13	66.6	COG0537	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase	138
2563530517	154	23.21	5	114	33	144	1.0e-08	52.6	COG1580	Flagellar basal body-associated protein FliL	159
2563530518	336	44.77	8	307	6	308	2.0e-78	286	COG1472	Periplasmic beta-glucosidase and related glycosidases	397
2563530519	179	32.16	10	179	6	176	5.0e-44	170	COG0634	Hypoxanthine-guanine phosphoribosyltransferase	178
2563530520	242	40.49	1	242	16	260	7.0e-62	230	COG0005	Purine nucleoside phosphorylase	262
2563530521	159	46.25	1	159	1	160	2.0e-41	161	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase 2	174
2563530522	166	41.06	15	163	1	150	9.0e-32	129	COG0782	Transcription elongation factor, GreA/GreB family	151
2563530525	170	43.11	4	170	7	172	5.0e-48	183	COG3040	Bacterial lipocalin	174
2563530527	448	31.08	153	445	42	328	1.0e-36	148	COG0642	Signal transduction histidine kinase	336
2563530528	228	41.67	3	228	2	228	7.0e-58	217	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2563530531	476	35.56	13	473	1	455	3.0e-55	210	COG1538	Outer membrane protein TolC	457
2563530532	427	25.08	18	343	1	310	2.0e-17	83.6	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	372
2563530533	243	49.12	13	237	1	226	4.0e-80	291	COG1136	ABC-type lipoprotein export system, ATPase component	226
2563530534	401	30.55	18	401	2	419	4.0e-33	135	COG0577	ABC-type antimicrobial peptide transport system, permease component	419
2563530538	290	30.21	1	284	1	284	6.0e-35	141	COG0583	DNA-binding transcriptional regulator, LysR family	297
2563530541	300	51.01	3	300	1	297	1.0e-105	376	COG1090	NAD dependent epimerase/dehydratase family enzyme	297
2563530542	453	43.72	5	450	2	460	3.0e-122	432	COG0415	Deoxyribodipyrimidine photolyase	461
2563530543	142	47.32	24	135	25	136	2.0e-29	122	COG4446	Uncharacterized conserved protein, DUF1499 family	141
2563530544	311	40.99	153	311	1	161	1.0e-37	150	COG3272	Uncharacterized conserved protein YbgA, DUF1722 family	163
2563530545	280	21.29	3	276	2	306	6.0e-17	81.5	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2563530546	364	41.73	7	360	2	357	1.0e-92	333	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	363
2563530551	174	33.33	18	137	4	123	7.0e-17	80.4	COG1846	DNA-binding transcriptional regulator, MarR family	126
2563530554	634	56.74	8	600	2	596	0.0e+00	711	COG0465	ATP-dependent Zn proteases	596
2563530559	354	33.33	26	349	9	320	7.0e-69	254	COG0837	Glucokinase	320
2563530560	151	42.95	1	149	1	148	2.0e-39	154	COG3019	Uncharacterized conserved protein	149
2563530561	355	56.66	1	352	2	352	8.0e-130	457	COG0407	Uroporphyrinogen-III decarboxylase	352
2563530562	628	19.7	357	617	34	273	1.0e-05	45.5	COG3266	Cell division protein DamX, binds to the septal ring, contains C-terminal SPOR domain	292
2563530563	360	57.66	1	357	1	357	3.0e-130	458	COG0337	3-dehydroquinate synthetase	360
2563530564	174	55.15	3	167	1	164	3.0e-53	200	COG0703	Shikimate kinase	172
2563530565	785	25.28	70	780	48	709	2.0e-81	297	COG4796	Type II secretory pathway, component HofQ	709
2563530566	203	40	39	203	8	168	8.0e-38	150	COG3168	Tfp pilus assembly protein PilP	170
2563530567	205	38.69	7	200	10	208	1.0e-43	169	COG3167	Tfp pilus assembly protein PilO	211
2563530568	191	33.87	1	186	4	187	1.0e-29	123	COG3166	Tfp pilus assembly protein PilN	206
2563530569	353	45.45	2	353	3	354	6.0e-98	351	COG4972	Tfp pilus assembly protein, ATPase PilM	354
2563530570	781	46.24	9	781	3	797	0.0e+00	872	COG5009	Membrane carboxypeptidase/penicillin-binding protein	797
2563530571	908	57.97	2	898	1	820	0.0e+00	1067	COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	822
2563530572	704	17.05	433	657	48	309	6.0e-08	53.2	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	372
2563530575	518	20.83	17	465	3	443	3.0e-13	70.2	COG1538	Outer membrane protein TolC	457
