gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2563530210	423	59.7	1	422	1	392	0.0e+00	479.2	KO:K00647	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	EC:2.3.1.41	Yes
2563530215	137	65.9	7	135	14	142	0.0e+00	195.7	KO:K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]	EC:3.1.2.-	Yes
2563530217	536	76.2	3	510	2	509	0.0e+00	774.2	KO:K01745	histidine ammonia-lyase [EC:4.3.1.3]	EC:4.3.1.3	Yes
2563530221	82	70.4	1	81	1	81	1.0e-25	117.5	KO:K02078	acyl carrier protein		Yes
2563530222	82	74.7	1	79	4	82	1.2e-26	120.6	KO:K02078	acyl carrier protein		Yes
2563530225	288	61.7	9	284	8	268	0.0e+00	330.9	KO:K02019	molybdate transport system regulatory protein		Yes
2563530227	254	67.2	5	254	2	254	0.0e+00	339	KO:K02020	molybdate transport system substrate-binding protein		Yes
2563530228	228	85.7	5	228	4	227	0.0e+00	397.5	KO:K02018	molybdate transport system permease protein		Yes
2563530229	392	71.8	4	392	5	380	0.0e+00	523.9	KO:K02017	molybdate transport system ATP-binding protein [EC:3.6.3.29]	EC:3.6.3.29	Yes
2563530230	142	79.6	1	142	1	142	0.0e+00	230.3	KO:K02019	molybdate transport system regulatory protein		Yes
2563530231	389	71.1	1	381	1	381	0.0e+00	534.3	KO:K02017	molybdate transport system ATP-binding protein [EC:3.6.3.29]	EC:3.6.3.29	Yes
2563530241	97	74.2	1	97	1	97	6.6e-32	138.3	KO:K07075			Yes
2563530245	412	71.1	1	410	1	418	0.0e+00	597.4	KO:K11473	glycolate oxidase iron-sulfur subunit		Yes
2563530248	293	88	3	293	4	294	0.0e+00	512.3	KO:K02588	nitrogenase iron protein NifH [EC:1.18.6.1]	EC:1.18.6.1	Yes
2563530249	493	89.4	1	492	1	492	0.0e+00	927.9	KO:K02586	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	EC:1.18.6.1	Yes
2563530250	523	86.6	1	523	1	523	0.0e+00	956.8	KO:K02591	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	EC:1.18.6.1	Yes
2563530251	74	71.4	1	70	1	70	5.1e-24	111.7	KO:K02593	nitrogen fixation protein NifT		Yes
2563530258	187	78.7	1	178	27	204	0.0e+00	305.1	KO:K03648	uracil-DNA glycosylase [EC:3.2.2.27]	EC:3.2.2.27	Yes
2563530259	254	77.1	1	253	1	253	0.0e+00	411.8	KO:K01142	exodeoxyribonuclease III [EC:3.1.11.2]	EC:3.1.11.2	Yes
2563530262	143	61.7	1	141	9	148	0.0e+00	189.9	KO:K07480	insertion element IS1 protein InsB		Yes
2563530266	519	88.4	1	464	1	464	0.0e+00	847.8	KO:K02587	nitrogenase molybdenum-cofactor synthesis protein NifE		Yes
2563530267	465	74.8	1	465	1	465	0.0e+00	685.6	KO:K02592	nitrogenase molybdenum-iron protein NifN		Yes
2563530268	143	74.1	1	143	1	143	0.0e+00	230.7	KO:K02596	nitrogen fixation protein NifX		Yes
2563530276	325	61.5	1	314	1	317	0.0e+00	399.4	KO:K09138	hypothetical protein		Yes
2563530279	102	66.3	3	100	4	101	1.6e-36	153.7	KO:K02439	thiosulfate sulfurtransferase [EC:2.8.1.1]	EC:2.8.1.1	Yes
2563530283	143	65.2	4	141	5	142	0.0e+00	208	KO:K03672	thioredoxin 2 [EC:1.8.1.8]	EC:1.8.1.8	Yes
2563530285	336	70.9	6	325	2	321	0.0e+00	468.8	KO:K07019			Yes
2563530287	612	77.9	1	601	1	603	0.0e+00	939.9	KO:K06147	ATP-binding cassette, subfamily B, bacterial		Yes
2563530289	262	89.7	1	261	1	261	0.0e+00	463.4	KO:K01265	methionyl aminopeptidase [EC:3.4.11.18]	EC:3.4.11.18	Yes
2563530292	263	45.7	1	263	1	269	0.0e+00	222.2	KO:K01525	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	EC:3.6.1.41	Yes
2563530293	181	81.8	1	181	1	181	0.0e+00	315.8	KO:K03839	flavodoxin I		Yes
2563530296	206	75.1	1	205	1	205	0.0e+00	330.9	KO:K00799	glutathione S-transferase [EC:2.5.1.18]	EC:2.5.1.18	Yes
2563530301	145	46.5	1	144	1	144	1.9e-35	150.6	KO:K03803	sigma-E factor negative regulatory protein RseC		Yes
2563530303	177	59.7	1	176	1	176	0.0e+00	231.5	KO:K03839	flavodoxin I		Yes
2563530304	202	59.3	1	201	1	204	0.0e+00	241.5	KO:K07390	monothiol glutaredoxin		Yes
2563530305	423	77.3	4	413	3	416	0.0e+00	637.9	KO:K03544	ATP-dependent Clp protease ATP-binding subunit ClpX		Yes
2563530306	292	57.6	10	285	10	285	0.0e+00	328.9	KO:K03769	peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]	EC:5.2.1.8	Yes
2563530307	159	75.9	1	158	1	158	0.0e+00	255.8	KO:K02597	nitrogen fixation protein NifZ		Yes
2563530308	105	68.6	1	105	1	104	1.2e-34	147.5	KO:K02595	nitrogenase-stabilizing/protective protein		Yes
2563530310	263	69.9	23	261	19	256	0.0e+00	358.6	KO:K00640	serine O-acetyltransferase [EC:2.3.1.30]	EC:2.3.1.30	Yes
2563530312	374	74.6	1	370	1	370	0.0e+00	546.2	KO:K02594	homocitrate synthase NifV [EC:2.3.3.14]	EC:2.3.3.14	Yes
2563530313	402	87.1	1	402	1	404	0.0e+00	707.2	KO:K04487	cysteine desulfurase [EC:2.8.1.7]	EC:2.8.1.7	Yes
2563530314	301	86.2	1	301	1	302	0.0e+00	520.8	KO:K13819	NifU-like protein		Yes
2563530315	118	73.7	1	118	1	118	0.0e+00	187.6	KO:K13628	iron-sulfur cluster assembly protein		Yes
2563530316	87	64.4	1	87	1	86	2.6e-27	122.9	KO:K02597	nitrogen fixation protein NifZ		Yes
2563530323	154	84.4	1	154	22	175	0.0e+00	277.7	KO:K03594	bacterioferritin [EC:1.16.3.1]	EC:1.16.3.1	Yes
2563530324	70	54.8	1	62	1	62	1.2e-14	80.5	KO:K02192	bacterioferritin-associated ferredoxin		Yes
2563530325	86	72.9	1	85	1	85	1.1e-30	134	KO:K09801	hypothetical protein		Yes
2563530326	232	71.7	4	232	8	237	0.0e+00	337	KO:K03613	electron transport complex protein RnfE		Yes
2563530327	236	67.6	25	234	30	239	0.0e+00	295	KO:K03612	electron transport complex protein RnfG		Yes
2563530328	357	69.8	4	354	2	350	0.0e+00	513.1	KO:K03614	electron transport complex protein RnfD		Yes
2563530330	495	64.8	1	492	1	489	0.0e+00	662.1	KO:K03615	electron transport complex protein RnfC		Yes
2563530331	190	76.6	1	175	1	175	0.0e+00	297.4	KO:K03616	electron transport complex protein RnfB		Yes
2563530332	193	85.5	1	193	1	193	0.0e+00	328.9	KO:K03617	electron transport complex protein RnfA		Yes
2563530334	513	73.6	1	513	1	510	0.0e+00	762.7	KO:K02584	Nif-specific regulatory protein		Yes
2563530339	496	83.1	1	496	1	497	0.0e+00	851.7	KO:K02585	nitrogen fixation protein NifB		Yes
2563530345	191	59.1	11	191	13	193	0.0e+00	231.5	KO:K15790	nitrogen fixation protein NifQ		Yes
2563530346	795	50.8	137	795	255	904	0.0e+00	611.7	KO:K03406	methyl-accepting chemotaxis protein		Yes
2563530352	210	67.1	1	210	1	210	0.0e+00	295.8	KO:K07006			Yes
2563530354	1064	85.5	1	1060	1	1045	0.0e+00	1816.2	KO:K07787	Cu(I)/Ag(I) efflux system membrane protein CusA/SilA		Yes
2563530356	478	76.9	1	478	1	477	0.0e+00	744.6	KO:K07798	membrane fusion protein, Cu(I)/Ag(I) efflux system		Yes
2563530364	434	58.7	11	433	5	428	0.0e+00	521.2	KO:K01647	citrate synthase [EC:2.3.3.1]	EC:2.3.3.1	Yes
2563530367	251	75.7	1	251	1	251	0.0e+00	386	KO:K07395	putative proteasome-type protease		Yes
2563530368	324	69.1	1	323	1	327	0.0e+00	458	KO:K00845	glucokinase [EC:2.7.1.2]	EC:2.7.1.2	Yes
2563530369	1077	72.1	2	1074	3	1071	0.0e+00	1561.2	KO:K07190	phosphorylase kinase alpha/beta subunit		Yes
2563530374	399	57	8	380	1	374	0.0e+00	455.3	KO:K03429	processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.157 2.4.1.315]	EC:2.4.1.157	Yes
2563530374	399	57	8	380	1	374	0.0e+00	455.3	KO:K03429	processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.157 2.4.1.315]	EC:2.4.1.315	Yes
2563530375	373	43.3	1	371	3	388	0.0e+00	306.2	KO:K02450	general secretion pathway protein A		Yes
2563530383	462	73.6	2	460	4	462	0.0e+00	687.2	KO:K03735	ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]	EC:4.3.1.7	Yes
2563530384	267	52.2	4	266	2	269	0.0e+00	256.9	KO:K03736	ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]	EC:4.3.1.7	Yes
2563530385	71	79.4	3	70	2	68	2.6e-25	115.9	KO:K03704	cold shock protein (beta-ribbon, CspA family)		Yes
2563530388	325	69.2	1	321	1	321	0.0e+00	481.5	KO:K07146	UPF0176 protein		Yes
2563530389	369	37.4	6	355	4	362	0.0e+00	233.8	KO:K06917	tRNA 2-selenouridine synthase [EC:2.9.1.-]	EC:2.9.1.-	Yes
2563530390	769	38	14	765	1	747	0.0e+00	526.2	KO:K01008	selenide, water dikinase [EC:2.7.9.3]	EC:2.7.9.3	Yes
2563530394	448	57.2	7	448	6	447	0.0e+00	555.4	KO:K01201	glucosylceramidase [EC:3.2.1.45]	EC:3.2.1.45	Yes
2563530395	337	78.9	1	337	1	337	0.0e+00	533.9	KO:K00226	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	EC:1.3.98.1	Yes
2563530396	1212	83	1	1212	1	1212	0.0e+00	2065.8	KO:K03737	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	EC:1.2.7.-	Yes
2563530396	1212	83	1	1212	1	1212	0.0e+00	2065.8	KO:K03737	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	EC:1.2.7.1	Yes
2563530397	228	61.4	1	223	1	223	0.0e+00	283.1	KO:K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6]	EC:5.3.1.6	Yes
2563530400	449	71.6	5	444	39	477	0.0e+00	635.2	KO:K03305	proton-dependent oligopeptide transporter, POT family		Yes
2563530405	378	67.7	1	378	1	378	0.0e+00	558.5	KO:K09919	hypothetical protein		Yes
2563530412	1030	52.3	98	1030	1	955	0.0e+00	920.6	KO:K03406	methyl-accepting chemotaxis protein		Yes
2563530414	201	58.2	10	198	12	200	0.0e+00	218	KO:K07183	response regulator NasT		Yes
2563530418	1039	69.8	1	1038	1	1044	0.0e+00	1473	KO:K03296	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family		Yes
2563530420	337	76.5	6	329	20	343	0.0e+00	542	KO:K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]	EC:5.1.3.2	Yes
2563530421	307	72.2	1	302	1	302	0.0e+00	455.3	KO:K12992	rhamnosyltransferase [EC:2.4.1.-]	EC:2.4.1.-	Yes
2563530429	792	79.1	3	791	2	790	0.0e+00	1236.1	KO:K16692	tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]	EC:2.7.10.-	Yes
2563530430	370	66.8	1	370	1	366	0.0e+00	501.9	KO:K01991	polysaccharide export outer membrane protein		Yes
2563530431	473	81	1	473	1	473	0.0e+00	808.5	KO:K03606	putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase		Yes
2563530438	526	64.6	40	522	1	482	0.0e+00	613.6	KO:K07711	two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]	EC:2.7.13.3	Yes
2563530445	395	39.7	14	370	8	401	0.0e+00	263.1	KO:K15549	membrane fusion protein, multidrug efflux system		Yes
2563530448	200	62.4	1	197	1	197	0.0e+00	240.4	KO:K01118	FMN-dependent NADH-azoreductase [EC:1.7.-.-]	EC:1.7.-	Yes
2563530464	143	61.7	1	141	9	148	0.0e+00	189.9	KO:K07480	insertion element IS1 protein InsB		Yes
2563530470	143	61.7	1	141	9	148	0.0e+00	189.5	KO:K07480	insertion element IS1 protein InsB		Yes
2563530473	279	31.2	12	271	53	311	1.0e-21	105.9	KO:K07001	NTE family protein		Yes
2563530476	768	30.3	79	763	76	803	0.0e+00	301.6	KO:K06919	putative DNA primase/helicase		Yes
2563530481	225	80.7	1	223	1	223	0.0e+00	363.6	KO:K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	EC:6.3.4.20	Yes
2563530482	213	74.6	1	213	1	213	0.0e+00	332	KO:K10026	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	EC:4.3.99.3	Yes
2563530484	191	65.2	1	191	1	201	0.0e+00	259.6	KO:K03640	peptidoglycan-associated lipoprotein		Yes
2563530485	427	63.1	5	427	6	430	0.0e+00	565.1	KO:K03641	TolB protein		Yes
2563530486	499	45.2	7	496	3	481	0.0e+00	317	KO:K03646	colicin import membrane protein		Yes
2563530487	142	55.9	3	138	4	138	7.2e-35	148.7	KO:K03560	biopolymer transport protein TolR		Yes
2563530488	225	82.2	1	225	1	225	0.0e+00	368.2	KO:K03562	biopolymer transport protein TolQ		Yes
2563530489	138	74.5	1	137	1	133	0.0e+00	206.1	KO:K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]	EC:3.1.2.-	Yes
2563530490	344	83.7	1	343	1	343	0.0e+00	574.3	KO:K03551	holliday junction DNA helicase RuvB [EC:3.6.4.12]	EC:3.6.4.12	Yes
2563530491	203	75.7	1	203	1	201	0.0e+00	306.6	KO:K03550	holliday junction DNA helicase RuvA [EC:3.6.4.12]	EC:3.6.4.12	Yes
2563530492	165	80.9	2	163	3	164	0.0e+00	270	KO:K01159	crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]	EC:3.1.22.4	Yes
2563530494	213	62.9	1	213	1	213	0.0e+00	273.5	KO:K01079	phosphoserine phosphatase [EC:3.1.3.3]	EC:3.1.3.3	Yes
2563530495	527	77	1	527	1	527	0.0e+00	802.4	KO:K00058	D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]	EC:1.1.1.95	Yes
2563530496	354	47.7	5	318	9	319	0.0e+00	304.7	KO:K16291	L,D-transpeptidase ErfK/SrfK		Yes
2563530497	469	72.6	4	467	8	469	0.0e+00	696	KO:K03294	basic amino acid/polyamine antiporter, APA family		Yes
2563530503	398	82	3	396	2	395	0.0e+00	656.4	KO:K01866	tyrosyl-tRNA synthetase [EC:6.1.1.1]	EC:6.1.1.1	Yes
2563530505	385	61.9	1	369	1	370	0.0e+00	472.6	KO:K09001	anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]	EC:2.7.1.170	Yes
2563530506	110	93.6	1	110	1	110	0.0e+00	213.4	KO:K15724	iron-sulfur cluster insertion protein		Yes
2563530507	343	78.4	1	343	1	342	0.0e+00	546.6	KO:K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	EC:1.2.1.38	Yes
2563530509	281	68.3	1	281	1	281	0.0e+00	420.6	KO:K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]	EC:2.8.1.1	Yes
2563530509	281	68.3	1	281	1	281	0.0e+00	420.6	KO:K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]	EC:2.8.1.2	Yes
2563530513	417	71.3	1	414	1	414	0.0e+00	622.5	KO:K17218	sulfide:quinone oxidoreductase [EC:1.8.5.-]	EC:1.8.5.-	Yes
2563530514	577	46.7	1	574	1	576	0.0e+00	515	KO:K03321	sulfate permease, SulP family		Yes
2563530517	154	46.4	5	154	4	132	3.2e-28	126.7	KO:K02415	flagellar FliL protein		Yes
2563530518	336	69.8	1	331	1	331	0.0e+00	479.9	KO:K01207	beta-N-acetylhexosaminidase [EC:3.2.1.52]	EC:3.2.1.52	Yes
2563530519	179	76.5	1	179	3	181	0.0e+00	286.2	KO:K00760	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	EC:2.4.2.8	Yes
2563530520	242	75.7	1	241	3	245	0.0e+00	379.8	KO:K00772	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	EC:2.4.2.28	Yes
2563530521	159	75	1	156	1	156	0.0e+00	248.8	KO:K03775	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]	EC:5.2.1.8	Yes
2563530522	166	74.2	1	163	1	163	0.0e+00	243	KO:K04760	transcription elongation factor GreB		Yes
2563530525	170	61.9	1	168	1	168	0.0e+00	220.7	KO:K03098	apolipoprotein D and lipocalin family protein		Yes
2563530527	448	48.1	1	444	1	441	0.0e+00	389.8	KO:K02484	two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	EC:2.7.13.3	Yes
2563530528	228	73	4	228	14	239	0.0e+00	333.2	KO:K07662	two-component system, OmpR family, response regulator CpxR		Yes
2563530532	427	70.5	11	427	7	421	0.0e+00	553.9	KO:K02005	HlyD family secretion protein		Yes
2563530533	243	82.9	9	235	2	229	0.0e+00	374	KO:K02003	putative ABC transport system ATP-binding protein		Yes
2563530534	401	79.6	1	401	1	401	0.0e+00	612.5	KO:K02004	putative ABC transport system permease protein		Yes
2563530540	290	63.8	2	290	7	293	0.0e+00	402.9	KO:K03932	polyhydroxybutyrate depolymerase		Yes
2563530541	300	64.5	1	298	1	299	0.0e+00	401	KO:K07071			Yes
2563530542	453	62.5	1	452	1	453	0.0e+00	602.1	KO:K01669	deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	EC:4.1.99.3	Yes
2563530546	364	67.3	10	363	4	358	0.0e+00	479.6	KO:K10680	N-ethylmaleimide reductase [EC:1.-.-.-]	EC:1.-	Yes
2563530547	432	51.5	12	432	4	420	0.0e+00	417.5	KO:K04046	hypothetical chaperone protein		Yes
2563530548	96	89.6	1	96	1	96	0.0e+00	185.7	KO:K06995			Yes
2563530554	634	65.6	9	621	8	626	0.0e+00	792	KO:K03798	cell division protease FtsH [EC:3.4.24.-]	EC:3.4.24.-	Yes
2563530559	354	48.9	26	348	3	325	0.0e+00	302.4	KO:K00845	glucokinase [EC:2.7.1.2]	EC:2.7.1.2	Yes
2563530561	355	81.3	1	353	1	353	0.0e+00	597	KO:K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	EC:4.1.1.37	Yes
2563530563	360	76.5	1	357	1	358	0.0e+00	547.4	KO:K01735	3-dehydroquinate synthase [EC:4.2.3.4]	EC:4.2.3.4	Yes
2563530564	174	64.9	1	171	12	182	0.0e+00	238	KO:K00891	shikimate kinase [EC:2.7.1.71]	EC:2.7.1.71	Yes
2563530565	785	56.5	11	785	8	792	0.0e+00	841.3	KO:K02666	type IV pilus assembly protein PilQ		Yes
2563530566	203	63.8	41	203	36	198	0.0e+00	227.3	KO:K02665	type IV pilus assembly protein PilP		Yes
2563530567	205	64.9	1	205	1	211	0.0e+00	268.9	KO:K02664	type IV pilus assembly protein PilO		Yes
2563530568	191	60.2	1	181	1	180	0.0e+00	218.8	KO:K02663	type IV pilus assembly protein PilN		Yes
2563530569	353	77.9	1	353	1	353	0.0e+00	551.2	KO:K02662	type IV pilus assembly protein PilM		Yes
2563530570	781	58.6	12	781	11	788	0.0e+00	907.5	KO:K05366	penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-]	EC:2.4.1.-	Yes
2563530570	781	58.6	12	781	11	788	0.0e+00	907.5	KO:K05366	penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-]	EC:3.4.-	Yes
2563530571	908	82.8	1	908	1	906	0.0e+00	1520	KO:K03070	preprotein translocase subunit SecA		Yes
2563530572	704	46.4	6	704	7	707	0.0e+00	619	KO:K16922	putative peptide zinc metalloprotease protein		Yes
2563530586	66	84.4	3	66	5	68	2.2e-26	119.4	KO:K03704	cold shock protein (beta-ribbon, CspA family)		Yes
2563530589	638	77	1	630	1	629	0.0e+00	989.2	KO:K15738	ATP-binding cassette, subfamily F, uup		Yes
2563530591	306	63.8	1	304	1	304	0.0e+00	411.4	KO:K07088			Yes
2563530593	241	89.2	1	241	1	241	0.0e+00	424.1	KO:K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	EC:4.1.1.23	Yes
2563530594	242	75.3	1	235	1	235	0.0e+00	367.9	KO:K09792	hypothetical protein		Yes
2563530596	244	34.7	1	238	1	238	4.5e-29	130.2	KO:K01090	protein phosphatase [EC:3.1.3.16]	EC:3.1.3.16	Yes
2563530597	248	77.2	1	246	1	246	0.0e+00	377.5	KO:K03474	pyridoxine 5-phosphate synthase [EC:2.6.99.2]	EC:2.6.99.2	Yes
2563530598	249	53.9	11	240	1	230	0.0e+00	236.5	KO:K03584	DNA repair protein RecO (recombination protein O)		Yes
2563530599	293	80.9	1	293	1	293	0.0e+00	494.2	KO:K03595	GTP-binding protein Era		Yes
2563530600	227	76.4	1	225	1	225	0.0e+00	345.9	KO:K03685	ribonuclease III [EC:3.1.26.3]	EC:3.1.26.3	Yes
2563530602	258	77.9	1	258	1	258	0.0e+00	426.4	KO:K03100	signal peptidase I [EC:3.4.21.89]	EC:3.4.21.89	Yes
2563530603	599	87.8	1	599	1	599	0.0e+00	1040	KO:K03596	GTP-binding protein LepA		Yes
2563530608	178	85.4	1	178	1	178	0.0e+00	328.9	KO:K19221	cob(I)alamin adenosyltransferase [EC:2.5.1.17]	EC:2.5.1.17	Yes
2563530614	175	65.5	1	168	1	168	0.0e+00	240.4	KO:K07491	putative transposase		Yes
2563530615	207	63.4	1	164	1	164	0.0e+00	236.1	KO:K07491	putative transposase		Yes
2563530619	305	68.1	1	304	1	304	0.0e+00	432.6	KO:K06998	trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]	EC:5.3.3.17	Yes
2563530620	120	68.8	1	109	1	108	9.6e-41	167.9	KO:K00363	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	EC:1.7.1.15	Yes
2563530621	845	82.2	1	845	1	845	0.0e+00	1430.2	KO:K00362	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	EC:1.7.1.15	Yes
2563530622	191	53.4	1	191	1	192	0.0e+00	194.1	KO:K07183	response regulator NasT		Yes
2563530625	230	61.7	4	230	5	231	0.0e+00	293.9	KO:K06992			Yes
2563530632	746	44.8	11	746	4	734	0.0e+00	531.9	KO:K03406	methyl-accepting chemotaxis protein		Yes
2563530634	466	75.5	1	466	1	466	0.0e+00	743.4	KO:K15576	nitrate/nitrite transport system substrate-binding protein		Yes
2563530635	338	84.8	1	336	1	336	0.0e+00	586.3	KO:K15577	nitrate/nitrite transport system permease protein		Yes
2563530636	604	84.1	31	604	25	586	0.0e+00	971.1	KO:K15578	nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]	EC:3.6.3.-	Yes
2563530638	492	78	1	492	1	492	0.0e+00	792.3	KO:K02575	MFS transporter, NNP family, nitrate/nitrite transporter		Yes
2563530640	150	62	1	150	1	150	0.0e+00	195.7	KO:K05793	tellurite resistance protein TerB		Yes
2563530646	198	74.4	1	198	1	199	0.0e+00	295	KO:K05791	tellurium resistance protein TerZ		Yes
2563530647	191	74.9	1	191	1	191	0.0e+00	298.9	KO:K05795	tellurium resistance protein TerD		Yes
2563530648	880	60.4	2	880	4	889	0.0e+00	1105.9	KO:K00372	assimilatory nitrate reductase catalytic subunit [EC:1.7.99.4]	EC:1.7.99.4	Yes
2563530651	351	71.5	1	342	1	344	0.0e+00	500.7	KO:K07708	two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]	EC:2.7.13.3	Yes
2563530652	471	76.4	1	471	1	467	0.0e+00	717.6	KO:K07712	two-component system, NtrC family, nitrogen regulation response regulator GlnG		Yes
2563530655	219	45.9	2	207	11	219	1.4e-45	184.9	KO:K07152	protein SCO1/2		Yes
2563530661	362	72.4	10	350	7	346	0.0e+00	505	KO:K03325	arsenite transporter, ACR3 family		Yes
2563530662	159	62.6	1	155	1	155	0.0e+00	207.2	KO:K03741	arsenate reductase [EC:1.20.4.1]	EC:1.20.4.1	Yes
