gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2576837575	272	29	91	SUPERFAMILY	SSF47090	IPR002477	Peptidoglycan binding-like	
2576837577	296	224	286	SUPERFAMILY	SSF47090	IPR002477	Peptidoglycan binding-like	
2576837577	296	30	77	SUPERFAMILY	SSF53955	IPR023346	Lysozyme-like domain	
2576837577	296	110	210	SUPERFAMILY	SSF53955	IPR023346	Lysozyme-like domain	
2576837579	377	46	377	SUPERFAMILY	SSF48208	IPR008928	Six-hairpin glycosidase-like	GO:0003824
2576837580	739	56	178	SUPERFAMILY	SSF55785	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837580	739	69	135	SMART	SM00091	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837580	739	185	232	ProSiteProfiles	PS50112	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837580	739	188	254	SMART	SM00091	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837580	739	195	300	SUPERFAMILY	SSF55785	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837580	739	302	474	SMART	SM00267	IPR000160	GGDEF domain	
2576837580	739	343	476	ProSiteProfiles	PS50887	IPR000160	GGDEF domain	
2576837580	739	259	311	ProSiteProfiles	PS50113	IPR000700	PAS-associated, C-terminal	GO:0000155|GO:0000160
2576837580	739	318	474	SUPERFAMILY	SSF55073	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase	GO:0009190|GO:0016849|GO:0035556
2576837580	739	260	302	SMART	SM00086	IPR001610	PAC motif	
2576837580	739	484	731	SMART	SM00052	IPR001633	Diguanylate phosphodiesterase, EAL domain	
2576837580	739	485	739	ProSiteProfiles	PS50883	IPR001633	Diguanylate phosphodiesterase, EAL domain	
2576837580	739	490	737	SUPERFAMILY	SSF141868	IPR001633	Diguanylate phosphodiesterase, EAL domain	
2576837581	976	533	598	SMART	SM00091	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837581	976	716	836	SUPERFAMILY	SSF55785	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837581	976	729	794	SMART	SM00091	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837581	976	838	904	SMART	SM00091	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837581	976	848	946	SUPERFAMILY	SSF55785	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837581	976	851	881	ProSiteProfiles	PS50112	IPR000014	PAS domain	GO:0004871|GO:0007165
2576837581	976	26	214	SUPERFAMILY	SSF52738	IPR000673	Signal transduction response regulator, chemotaxis, protein-glutamate methylesterase	GO:0000156|GO:0000160|GO:0005737|GO:0006935|GO:0008984
2576837581	976	27	213	ProSiteProfiles	PS50122	IPR000673	Signal transduction response regulator, chemotaxis, protein-glutamate methylesterase	GO:0000156|GO:0000160|GO:0005737|GO:0006935|GO:0008984
2576837581	976	909	961	ProSiteProfiles	PS50113	IPR000700	PAS-associated, C-terminal	GO:0000155|GO:0000160
2576837581	976	230	493	SMART	SM00138	IPR000780	MCP methyltransferase, CheR-type	GO:0008757
2576837581	976	233	474	ProSiteProfiles	PS50123	IPR000780	MCP methyltransferase, CheR-type	GO:0008757
2576837581	976	798	838	SMART	SM00086	IPR001610	PAC motif	
2576837581	976	910	952	SMART	SM00086	IPR001610	PAC motif	
2576837581	976	232	298	SUPERFAMILY	SSF47757	IPR022641	MCP methyltransferase, CheR-type, all-alpha domain, N-terminal	
2576837581	976	296	492	SUPERFAMILY	SSF53335			
2576837584	802	125	218	SMART	SM00436	IPR003601	DNA topoisomerase, type IA, domain 2	GO:0003677|GO:0003916|GO:0006265
2576837584	802	259	563	SMART	SM00437	IPR003602	DNA topoisomerase, type IA, DNA-binding	GO:0003677|GO:0003916|GO:0006265
2576837584	802	1	124	SMART	SM00493	IPR006171	Toprim domain	
2576837584	802	1	136	ProSiteProfiles	PS50880	IPR006171	Toprim domain	
2576837584	802	1	407	SUPERFAMILY	SSF56712	IPR023405	DNA topoisomerase, type IA, core domain	
2576837584	802	436	610	SUPERFAMILY	SSF56712	IPR023405	DNA topoisomerase, type IA, core domain	
2576837584	802	296	310	ProSitePatterns	PS00396	IPR023406	DNA topoisomerase, type IA, active site	GO:0003917
2576837585	457	130	332	SUPERFAMILY	SSF102405			
2576837587	68	3	68	SMART	SM00357	IPR011129	Cold shock protein	GO:0003676
2576837587	68	1	66	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2576837587	68	15	34	ProSitePatterns	PS00352	IPR019844	Cold-shock conserved site	
2576837588	88	2	79	ProSiteProfiles	PS50102	IPR000504	RNA recognition motif domain	GO:0003676
2576837588	88	3	75	SMART	SM00360	IPR000504	RNA recognition motif domain	GO:0003676
2576837588	88	2	80	SUPERFAMILY	SSF54928			
2576837589	120	1	18	ProSiteProfiles	PS51257			
2576837590	409	3	251	SUPERFAMILY	SSF53901	IPR016039	Thiolase-like	GO:0003824|GO:0008152
2576837590	409	214	408	SUPERFAMILY	SSF53901	IPR016039	Thiolase-like	GO:0003824|GO:0008152
2576837590	409	155	171	ProSitePatterns	PS00606	IPR018201	Beta-ketoacyl synthase, active site	
2576837590	409	5	409	SMART	SM00825	IPR020841	Polyketide synthase, beta-ketoacyl synthase domain	
2576837591	241	3	189	SMART	SM00822	IPR020842	Polyketide synthase/Fatty acid synthase, KR	
2576837591	241	2	240	SUPERFAMILY	SSF51735			
2576837592	166	30	153	SUPERFAMILY	SSF54637			
2576837593	423	8	258	SUPERFAMILY	SSF53901	IPR016039	Thiolase-like	GO:0003824|GO:0008152
2576837593	423	233	422	SUPERFAMILY	SSF53901	IPR016039	Thiolase-like	GO:0003824|GO:0008152
2576837593	423	178	194	ProSitePatterns	PS00606	IPR018201	Beta-ketoacyl synthase, active site	
2576837593	423	64	423	SMART	SM00825	IPR020841	Polyketide synthase, beta-ketoacyl synthase domain	
2576837595	425	25	193	SUPERFAMILY	SSF51905			
2576837595	425	300	383	SUPERFAMILY	SSF51905			
2576837596	790	229	400	SUPERFAMILY	SSF82866			
2576837596	790	647	772	SUPERFAMILY	SSF82866			
2576837597	195	24	183	SUPERFAMILY	SSF89392			
2576837598	137	6	129	SUPERFAMILY	SSF54637			
2576837599	179	5	150	SUPERFAMILY	SSF143422	IPR002686	Transposase IS200-like	GO:0003677|GO:0004803|GO:0006313
2576837600	536	3	509	SUPERFAMILY	SSF48557	IPR008948	L-Aspartase-like	GO:0003824
2576837600	536	144	160	ProSitePatterns	PS00488	IPR022313	Phenylalanine/histidine ammonia-lyases, active site	GO:0016841
2576837601	559	4	236	SUPERFAMILY	SSF53448			
2576837602	603	133	144	ProSitePatterns	PS00455	IPR020845	AMP-binding, conserved site	
2576837602	603	15	292	SUPERFAMILY	SSF56801			
2576837602	603	352	483	SUPERFAMILY	SSF56801			
2576837602	603	503	602	SUPERFAMILY	SSF54637			
2576837604	82	4	80	SUPERFAMILY	SSF47336	IPR009081	Acyl carrier protein-like	
2576837604	82	7	77	ProSiteProfiles	PS50075	IPR009081	Acyl carrier protein-like	
2576837605	82	1	75	ProSiteProfiles	PS50075	IPR009081	Acyl carrier protein-like	
2576837605	82	1	80	SUPERFAMILY	SSF47336	IPR009081	Acyl carrier protein-like	
2576837606	264	90	198	SMART	SM00563	IPR002123	Phospholipid/glycerol acyltransferase	GO:0008152|GO:0016746
2576837606	264	59	259	SUPERFAMILY	SSF69593			
2576837608	288	130	199	SUPERFAMILY	SSF50331	IPR008995	Molybdate/tungstate binding, C-terminal	
2576837608	288	217	283	SUPERFAMILY	SSF50331	IPR008995	Molybdate/tungstate binding, C-terminal	
2576837608	288	24	113	SUPERFAMILY	SSF46785			
2576837610	254	29	250	SUPERFAMILY	SSF53850			
2576837611	228	10	214	ProSiteProfiles	PS50928	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0005215|GO:0006810|GO:0016020
2576837611	228	8	215	SUPERFAMILY	SSF161098			
2576837612	392	1	235	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2576837612	392	25	212	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2576837612	392	240	322	SUPERFAMILY	SSF50331	IPR008995	Molybdate/tungstate binding, C-terminal	
2576837612	392	356	390	SUPERFAMILY	SSF50331	IPR008995	Molybdate/tungstate binding, C-terminal	
2576837612	392	200	392	ProSiteProfiles	PS51241	IPR015852	ABC transporter, molybdenum import, ModC	GO:0005524|GO:0016020|GO:0030001|GO:0042888
2576837612	392	135	149	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2576837612	392	10	225	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2576837613	142	1	70	SUPERFAMILY	SSF50331	IPR008995	Molybdate/tungstate binding, C-terminal	
2576837613	142	74	140	SUPERFAMILY	SSF50331	IPR008995	Molybdate/tungstate binding, C-terminal	
2576837614	389	2	233	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2576837614	389	23	210	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2576837614	389	237	354	SUPERFAMILY	SSF50331	IPR008995	Molybdate/tungstate binding, C-terminal	
2576837614	389	133	147	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2576837614	389	6	233	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2576837615	193	67	83	ProSitePatterns	PS00671	IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding	GO:0016616|GO:0048037|GO:0055114
2576837615	193	22	129	SUPERFAMILY	SSF51735			
2576837617	177	8	168	SUPERFAMILY	SSF53335			
2576837619	268	161	211	SUPERFAMILY	SSF46689	IPR009057	Homeodomain-like	GO:0003677
2576837619	268	215	258	SUPERFAMILY	SSF46689	IPR009057	Homeodomain-like	GO:0003677
2576837619	268	165	262	ProSiteProfiles	PS01124	IPR018060	DNA binding HTH domain, AraC-type	GO:0003700|GO:0006355|GO:0043565
2576837619	268	177	260	SMART	SM00342	IPR018060	DNA binding HTH domain, AraC-type	GO:0003700|GO:0006355|GO:0043565
2576837619	268	215	256	ProSitePatterns	PS00041	IPR018062	HTH domain AraC-type, conserved site	GO:0003700|GO:0006355|GO:0043565
2576837620	346	123	339	SUPERFAMILY	SSF51197			
2576837622	110	42	109	SUPERFAMILY	SSF47413	IPR010982	Lambda repressor-like, DNA-binding domain	GO:0003677
2576837624	97	5	97	SUPERFAMILY	SSF81301			
2576837628	412	18	49	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0051536
2576837628	412	70	101	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0051536
2576837628	412	28	39	ProSitePatterns	PS00198	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	
2576837628	412	79	90	ProSitePatterns	PS00198	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	
2576837628	412	20	120	SUPERFAMILY	SSF54862			
2576837631	293	3	275	ProSiteProfiles	PS51026	IPR000392	Nitrogenase iron protein, subunit NifH/Protochlorophyllide reductase, subunit ChlL	GO:0005524|GO:0016491|GO:0055114
2576837631	293	88	100	ProSitePatterns	PS00746	IPR000392	Nitrogenase iron protein, subunit NifH/Protochlorophyllide reductase, subunit ChlL	GO:0005524|GO:0016491|GO:0055114
2576837631	293	126	139	ProSitePatterns	PS00692	IPR000392	Nitrogenase iron protein, subunit NifH/Protochlorophyllide reductase, subunit ChlL	GO:0005524|GO:0016491|GO:0055114
2576837631	293	7	275	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2576837632	493	81	88	ProSitePatterns	PS00699	IPR000318	Nitrogenase component 1, conserved site	GO:0009399|GO:0016163
2576837632	493	152	166	ProSitePatterns	PS00090	IPR000318	Nitrogenase component 1, conserved site	GO:0009399|GO:0016163
2576837632	493	7	479	SUPERFAMILY	SSF53807			
2576837633	523	88	95	ProSitePatterns	PS00699	IPR000318	Nitrogenase component 1, conserved site	GO:0009399|GO:0016163
2576837633	523	151	165	ProSitePatterns	PS00090	IPR000318	Nitrogenase component 1, conserved site	GO:0009399|GO:0016163
2576837633	523	5	522	SUPERFAMILY	SSF53807			
2576837634	74	3	70	SUPERFAMILY	SSF159203			
2576837635	66	1	30	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0051536
2576837635	66	10	21	ProSitePatterns	PS00198	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	
2576837635	66	5	58	SUPERFAMILY	SSF54862			
2576837636	236	99	219	SUPERFAMILY	SSF53146	IPR003731	Dinitrogenase iron-molybdenum cofactor biosynthesis	
2576837638	255	27	219	SUPERFAMILY	SSF48371	IPR016024	Armadillo-type fold	GO:0005488
2576837641	187	4	156	SUPERFAMILY	SSF52141	IPR005122	Uracil-DNA glycosylase-like	
2576837641	187	5	162	SMART	SM00986	IPR005122	Uracil-DNA glycosylase-like	
2576837641	187	5	162	SMART	SM00987			
2576837642	254	1	254	ProSiteProfiles	PS51435	IPR004808	AP endonuclease 1	GO:0004518|GO:0006281
2576837642	254	1	253	SUPERFAMILY	SSF56219	IPR005135	Endonuclease/exonuclease/phosphatase	
2576837642	254	188	203	ProSitePatterns	PS00727	IPR020848	AP endonuclease 1, conserved site	GO:0003677|GO:0004519|GO:0005622|GO:0006281
2576837642	254	213	224	ProSitePatterns	PS00728	IPR020848	AP endonuclease 1, conserved site	GO:0003677|GO:0004519|GO:0005622|GO:0006281
2576837648	87	1	38	SUPERFAMILY	SSF47598	IPR010985	Ribbon-helix-helix	GO:0006355
2576837649	519	56	63	ProSitePatterns	PS00699	IPR000318	Nitrogenase component 1, conserved site	GO:0009399|GO:0016163
2576837649	519	123	137	ProSitePatterns	PS00090	IPR000318	Nitrogenase component 1, conserved site	GO:0009399|GO:0016163
2576837649	519	8	457	SUPERFAMILY	SSF53807			
2576837650	465	37	44	ProSitePatterns	PS00699	IPR000318	Nitrogenase component 1, conserved site	GO:0009399|GO:0016163
2576837650	465	6	440	SUPERFAMILY	SSF53807			
2576837651	143	3	121	SUPERFAMILY	SSF53146	IPR003731	Dinitrogenase iron-molybdenum cofactor biosynthesis	
2576837655	105	19	48	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0051536
2576837655	105	72	102	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0051536
2576837655	105	28	39	ProSitePatterns	PS00198	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	
2576837655	105	82	93	ProSitePatterns	PS00198	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	
2576837655	105	9	100	SUPERFAMILY	SSF54862			
2576837656	107	5	102	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2576837659	325	6	246	SUPERFAMILY	SSF159713			
2576837661	575	364	491	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2576837661	575	323	543	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2576837662	102	2	100	SUPERFAMILY	SSF52821	IPR001763	Rhodanese-like domain	
2576837662	102	6	101	SMART	SM00450	IPR001763	Rhodanese-like domain	
2576837662	102	16	101	ProSiteProfiles	PS50206	IPR001763	Rhodanese-like domain	
2576837663	150	25	54	SMART	SM00248	IPR002110	Ankyrin repeat	GO:0005515
2576837663	150	25	57	ProSiteProfiles	PS50088	IPR002110	Ankyrin repeat	GO:0005515
2576837663	150	58	87	SMART	SM00248	IPR002110	Ankyrin repeat	GO:0005515
2576837663	150	58	90	ProSiteProfiles	PS50088	IPR002110	Ankyrin repeat	GO:0005515
2576837663	150	92	121	SMART	SM00248	IPR002110	Ankyrin repeat	GO:0005515
2576837663	150	92	124	ProSiteProfiles	PS50088	IPR002110	Ankyrin repeat	GO:0005515
2576837663	150	4	147	SUPERFAMILY	SSF48403	IPR020683	Ankyrin repeat-containing domain	
2576837663	150	25	150	ProSiteProfiles	PS50297	IPR020683	Ankyrin repeat-containing domain	
2576837664	237	103	219	SUPERFAMILY	SSF53146	IPR003731	Dinitrogenase iron-molybdenum cofactor biosynthesis	
2576837666	143	19	143	ProSiteProfiles	PS51352	IPR012336	Thioredoxin-like fold	
2576837666	143	26	142	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2576837666	143	60	78	ProSitePatterns	PS00194	IPR017937	Thioredoxin, conserved site	GO:0045454
2576837667	167	3	163	SUPERFAMILY	SSF53474			
2576837668	336	232	273	ProSitePatterns	PS01133	IPR000952	Uncharacterised protein family UPF0017, hydrolase-like, conserved site	
2576837668	336	27	186	SUPERFAMILY	SSF53474			
2576837668	336	226	307	SUPERFAMILY	SSF53474			
2576837670	612	355	589	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2576837670	612	380	566	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2576837670	612	27	319	SUPERFAMILY	SSF90123	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2576837670	612	36	321	ProSiteProfiles	PS50929	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2576837670	612	496	511	SUPERFAMILY	SSF90123	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2576837670	612	492	506	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2576837670	612	346	590	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2576837672	262	1	255	SUPERFAMILY	SSF55920	IPR000994	Peptidase M24, structural domain	
2576837672	262	165	183	ProSitePatterns	PS00680	IPR002467	Peptidase M24A, methionine aminopeptidase, subfamily 1	GO:0004177|GO:0006508|GO:0008235
2576837675	263	1	196	SUPERFAMILY	SSF56300			
2576837676	181	4	173	ProSiteProfiles	PS50902	IPR008254	Flavodoxin/nitric oxide synthase	GO:0010181|GO:0016491
2576837676	181	1	174	SUPERFAMILY	SSF52218			
2576837679	206	1	80	ProSiteProfiles	PS50404	IPR004045	Glutathione S-transferase, N-terminal	GO:0005515
2576837679	206	80	201	SUPERFAMILY	SSF47616	IPR010987	Glutathione S-transferase, C-terminal-like	
2576837679	206	85	206	ProSiteProfiles	PS50405	IPR010987	Glutathione S-transferase, C-terminal-like	
2576837679	206	1	83	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2576837680	131	11	124	SUPERFAMILY	SSF47188	IPR012827	Haemerythrin-like, metal-binding domain	GO:0046872
2576837680	131	53	76	ProSitePatterns	PS00550	IPR016131	Haemerythrin, iron-binding site	GO:0046872
2576837681	194	90	187	ProSiteProfiles	PS51471	IPR005123	Oxoglutarate/iron-dependent dioxygenase	GO:0016491|GO:0016706|GO:0055114
2576837681	194	4	188	SUPERFAMILY	SSF51197			
2576837685	137	23	128	ProSiteProfiles	PS51296	IPR017941	Rieske [2Fe-2S] iron-sulphur domain	GO:0016491|GO:0051537|GO:0055114
2576837685	137	23	128	SUPERFAMILY	SSF50022	IPR017941	Rieske [2Fe-2S] iron-sulphur domain	GO:0016491|GO:0051537|GO:0055114
2576837686	177	6	22	ProSitePatterns	PS00201	IPR001226	Flavodoxin, conserved site	GO:0009055|GO:0010181
2576837686	177	4	173	ProSiteProfiles	PS50902	IPR008254	Flavodoxin/nitric oxide synthase	GO:0010181|GO:0016491
2576837686	177	1	175	SUPERFAMILY	SSF52218			
2576837687	202	4	106	ProSiteProfiles	PS51354	IPR002109	Glutaredoxin	GO:0009055|GO:0015035|GO:0045454
2576837687	202	116	193	SUPERFAMILY	SSF82657	IPR002634	BolA protein	
2576837687	202	2	100	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2576837688	423	112	262	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2576837688	423	6	45	SMART	SM00994	IPR010603	Zinc finger, ClpX C4-type	GO:0008270|GO:0046983
2576837688	423	316	410	SMART	SM01086	IPR019489	Clp ATPase, C-terminal	
2576837688	423	55	401	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2576837688	423	8	42	SUPERFAMILY	SSF57716			
2576837689	292	142	244	ProSiteProfiles	PS50198	IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	GO:0016853
2576837689	292	184	204	ProSitePatterns	PS01096	IPR023058	Peptidyl-prolyl cis-trans isomerase, PpiC-type, conserved site	
2576837689	292	20	172	SUPERFAMILY	SSF109998	IPR027304	Trigger factor/SurA domain	
2576837689	292	135	242	SUPERFAMILY	SSF54534			
2576837693	263	20	187	SUPERFAMILY	SSF51161	IPR011004	Trimeric LpxA-like	
2576837693	263	144	172	ProSitePatterns	PS00101	IPR018357	Hexapeptide transferase, conserved site	GO:0016740
2576837695	374	8	259	ProSiteProfiles	PS50991	IPR000891	Pyruvate carboxyltransferase	GO:0003824
2576837695	374	15	31	ProSitePatterns	PS00815	IPR002034	Alpha-isopropylmalate/homocitrate synthase, conserved site	GO:0019752|GO:0046912
